,title,artist,top genre,year,Key,bpm,nrgy,dnce,dB,live,val,dur,acous,spch
4,Born To Be Alive,Patrick Hernandez,Disco,1979,D Major,131,87,70,-5.81,21,81,3:11,8,3
5,Tragedy,Bee Gees,Soul,1979,D Major,118,54,67,-10.71,32,79,5:03,9,3
6,Hot Stuff,Donna Summer,Disco,1979,C Major,120,74,82,-13.98,7,97,3:45,1,3
7,My Sharona,The Knack,Alternative,1979,C Major,147,70,59,-9.56,3,90,4:55,6,4
8,Too Much Heaven,Bee Gees,Soul,1979,F# Major,83,42,57,-13.17,72,33,4:57,43,4
9,Pop Muzik,M,Electronic,1979,C# Major,111,73,94,-9.98,8,97,4:56,12,4
10,Do Ya Think I’m Sexy?,Rod Stewart,Disco,1978,D Minor,112,47,72,-15.21,10,88,5:25,1,3
,1980,,,,,,,,,,,,,
1,Another Brick In The Wall (Part 2),Pink Floyd,Rock,1979,C Major,104,39,69,-15.88,25,72,3:58,8,4
2,A Woman In Love,Barbra Streisand,Pop,1980,Eb Minor,170,28,47,-16.31,13,33,3:51,25,3
3,(Just Like) Starting Over,John Lennon,Pop,1980,A Major,99,79,70,-6.16,18,42,3:56,30,7
4,Upside Down,Diana Ross,R&B,1980,F Minor,108,86,87,-8.56,4,88,4:05,18,6
5,Call Me,Blondie,Pop,1980,D Minor,143,83,55,-6.67,7,77,3:32,0,3
6,Funkytown,Lipps Inc,Disco,1979,C Major,122,42,89,-13.97,8,46,7:50,0,8
7,Another One Bites The Dust,Queen,Rock,1980,F Minor,110,53,93,-6.52,16,77,3:34,10,16
8,Crazy Little Thing Called Love,Queen,Rock,1980,C Major,77,76,60,-6.89,35,72,2:43,71,4
9,Xanadu,Olivia Newton-John & Electric Light Orchestra,Pop,1980,F# Major,128,58,64,-9.11,29,71,3:28,12,3
10,Fame,Irene Cara,Electronic,1980,G Minor,131,87,65,-6.35,43,58,4:02,1,5
,1981,,,,,,,,,,,,,
1,Bette Darvis Eyes,Kim Carnes,Country,1981,F Major,117,65,68,-10.27,10,60,3:48,2,3
2,Stars On 45,Starsound,Electronic,1981,G Major,123,65,78,-10.83,48,97,4:46,35,6
3,(Let’s Get) Physical,Olivia Newton-John,Pop,1981,E Minor,124,73,84,-8.47,11,74,3:45,13,4
4,Endless Love,Diana Ross & Lionel Richie,R&B,1981,Bb Major,187,34,21,-9.28,13,21,4:26,66,3
5,Tainted Love,Soft Cell,Electronic,1981,C Minor,144,50,50,-8.28,26,62,2:33,46,4
6,Woman,John Lennon,Pop,1980,Eb Major,80,66,59,-6.37,4,75,3:32,38,2
7,In The Air Tonight,Phil Collins,Pop,1981,C Major,190,24,45,-13.95,7,30,5:36,55,3
8,Celebration,Kool & The Gang,R&B,1980,C# Major,122,66,89,-11.80,8,91,4:58,15,5
9,Shaddup You Face,Joe Dolce,Folk,1981,E Major,119,55,78,-10.11,27,87,3:11,28,7
10,9 To 5,Dolly Parton,Country,1980,F# Major,106,58,53,-11.22,38,79,2:33,67,5
,1982,,,,,,,,,,,,,
1,Eye Of The Tiger,Survivor,Pop,1982,C Minor,109,44,82,-14.52,8,55,3:46,22,3
2,I Love Rock ’n’ Roll,Joan Jett & The Blackhearts,Pop,1981,E Major,94,72,54,-5.03,66,90,2:56,33,4
3,Do You Really Want To Hurt Me?,Culture Club,Alternative,1982,E Minor,101,38,74,-15.00,11,42,4:22,8,4
4,Ebony & Ivory,Paul McCartney & Stevie Wonder,Pop,1982,E Major,161,69,57,-7.88,3,71,3:46,8,4
5,Don’t You Want Me,The Human League,Electronic,1981,A Minor,118,74,73,-8.13,21,96,3:56,18,4
6,Abracadabra,Steve Miller Band,Pop,1982,A Minor,128,54,79,-13.27,17,96,5:11,8,4
7,Centrefold,J Gelis Band,Rock,1981,C Major,114,82,61,-5.04,33,82,3:51,1,3
8,Down Under,Men At Work,Pop Rock,1981,B Minor,107,81,74,-4.37,18,91,3:42,10,3
9,Come On Eileen,Dexys Midnight Runners,Alternative,1982,D Major,107,66,45,-7.05,26,78,4:47,66,5
10,Words,F R David,Pop,1982,Bb Minor,124,79,54,-5.58,14,53,3:28,37,5
,1983,,,,,,,,,,,,,
1,Flashdance… What A Feeling,Irene Cara,Disco,1983,G Minor,122,65,57,-7.03,9,40,3:57,1,3
2,Every Breath You Take,The Police,Alternative,1983,C# Major,117,46,82,-9.81,8,72,4:13,53,3
3,Billie Jean,Micheal Jackson,Electronic,1982,B Minor,117,60,93,-4.43,4,85,4:53,2,4
4,Karma Charmeleon,Culture Club,Alternative,1983,Bb Major,92,58,68,-12.03,15,93,4:14,19,4
5,Beat It,Micheal Jackson,Disco,1982,Eb Minor,139,80,76,-6.24,17,90,4:18,3,4
6,Let’s Dance,David Bowie,Blues Rock,1983,Bb Minor,115,74,65,-7.44,15,63,7:37,1,6
7,99 Red Balloons,Nena,Electronic,1983,E Major,97,48,70,-7.07,11,52,3:50,6,5
8,Total Eclipse Of The Heart,Bonnie Tyler,Pop Rock,1983,G# Major,130,72,43,-5.89,37,19,4:27,15,6
9,Red Red Wine,UB40,Reggae,1983,C# Major,89,36,81,-15.68,10,84,2:59,1,6
10,All Night Long (All Night),Lionel Richie,R&B,1983,C# Major,109,58,74,-12.02,5,78,4:18,12,5
,1984,,,,,,,,,,,,,
1,Careless Whisper,George Micheal,Pop,1984,D Minor,77,64,60,-8.88,32,79,5:03,14,3
2,I Just Called To Say I Love You,Stevie Wonder,Soul,1984,C# Major,114,56,75,-8.67,9,67,4:22,18,2
3,When Doves Cry,Prince,R&B,1984,A Minor,126,99,73,-4.61,44,84,5:52,1,5
4,Do They Know It’s Christmas?,Band Aid,Alternative,1984,C Major,115,64,60,-6.94,10,35,3:51,16,4
5,What’s Love Got To Do With It?,Tina Turner,Soul,1984,C# Major,98,48,86,-8.90,15,80,3:50,25,6
6,Relax,Frankie Goes To Hollywood,Electronic,1984,B Minor,115,83,68,-8.15,3,71,3:57,30,4
7,Girls Just Wanna Have Fun,Cyndi Lauper,Pop,1983,F# Major,121,84,72,-3.50,64,74,3:44,35,3
